                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0565,                 2.0389,                0.88492,                      1,                0.99279,                  0.995,                0.70601,                 1.0724,                 1.9623,                0.95014,                0.00101,                0.00101,                0.00101
                     53,                 1.2037,                 1.6955,                0.89582,                      1,                0.99279,                  0.995,                0.70601,                 1.0724,                 1.9623,                0.95014,              0.0009902,              0.0009902,              0.0009902
                     54,                0.61301,                 2.5803,                0.55652,                0.99469,                      1,                  0.995,                0.70944,                 1.1012,                 1.7524,                0.97233,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0983,                 2.1525,                0.90145,                0.99469,                      1,                  0.995,                0.70944,                 1.1012,                 1.7524,                0.97233,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1681,                 1.4659,                0.97754,                0.99467,                      1,                  0.995,                0.68916,                 1.1416,                 1.6819,                0.96786,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4424,                 2.0009,                0.86321,                0.99467,                      1,                  0.995,                0.68916,                 1.1416,                 1.6819,                0.96786,               0.000911,               0.000911,               0.000911
                     58,                 1.1654,                 1.6419,                0.86011,                 0.9901,                      1,                  0.995,                0.65548,                 1.1506,                 1.7882,                0.95319,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1304,                 1.5077,                0.78383,                 0.9901,                      1,                  0.995,                0.65548,                 1.1506,                 1.7882,                0.95319,              0.0008714,              0.0008714,              0.0008714
                     60,                0.80233,                 2.4134,                0.62105,                0.99133,                      1,                  0.995,                0.63092,                 1.1626,                 1.9287,                0.93316,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0696,                 1.5549,                0.88684,                0.99133,                      1,                  0.995,                0.63092,                 1.1626,                 1.9287,                0.93316,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.431,                  2.695,                0.90845,                 0.9931,                      1,                  0.995,                0.62423,                 1.2095,                 2.0067,                0.94009,               0.000812,               0.000812,               0.000812
                     63,                 1.1705,                 2.2088,                0.87531,                 0.9931,                      1,                  0.995,                0.62423,                 1.2095,                 2.0067,                0.94009,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0455,                 1.8393,                0.92707,                0.98855,                      1,                  0.995,                0.62485,                 1.2765,                  1.871,                0.95954,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.137,                 1.8568,                0.90538,                0.98855,                      1,                  0.995,                0.62485,                 1.2765,                  1.871,                0.95954,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.321,                 1.4652,                0.94642,                0.99223,                      1,                  0.995,                0.65702,                 1.2908,                 1.6399,                0.96227,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0131,                 1.5678,                0.84439,                0.99223,                      1,                  0.995,                0.65702,                 1.2908,                 1.6399,                0.96227,               0.000713,               0.000713,               0.000713
                     68,                  1.271,                 1.6079,                0.83544,                0.99419,                      1,                  0.995,                0.71209,                 1.2277,                 1.4212,                0.94774,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.8686,                 1.4757,                 0.8415,                0.99419,                      1,                  0.995,                0.71209,                 1.2277,                 1.4212,                0.94774,              0.0006734,              0.0006734,              0.0006734
                     70,                  1.213,                 1.5094,                0.96872,                0.99431,                      1,                  0.995,                0.74582,                 1.1461,                 1.3802,                0.93131,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1973,                 1.8951,                0.89767,                0.99431,                      1,                  0.995,                0.74582,                 1.1461,                 1.3802,                0.93131,              0.0006338,              0.0006338,              0.0006338
                     72,                0.74106,                 2.2382,                0.62773,                0.99411,                      1,                  0.995,                0.70323,                 1.1248,                 1.3595,                 0.9324,               0.000614,               0.000614,               0.000614
                     73,                 1.3016,                  2.637,                0.94939,                0.99411,                      1,                  0.995,                0.70323,                 1.1248,                 1.3595,                 0.9324,              0.0005942,              0.0005942,              0.0005942
                     74,                0.94698,                 1.3281,                0.84491,                 0.9942,                      1,                  0.995,                0.72474,                  1.133,                 1.3716,                0.93375,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2019,                  1.588,                0.90293,                 0.9942,                      1,                  0.995,                0.72474,                  1.133,                 1.3716,                0.93375,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.491,                 2.5855,                0.93768,                0.99407,                      1,                  0.995,                 0.6867,                 1.1456,                 1.4368,                0.92857,              0.0005348,              0.0005348,              0.0005348
                     77,                0.99698,                 1.4703,                0.90217,                0.99407,                      1,                  0.995,                 0.6867,                 1.1456,                 1.4368,                0.92857,               0.000515,               0.000515,               0.000515
                     78,                 1.0969,                 1.5587,                0.86551,                0.99402,                      1,                  0.995,                0.70719,                 1.0803,                 1.4467,                  0.911,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0346,                 1.3457,                0.84964,                0.99402,                      1,                  0.995,                0.70719,                 1.0803,                 1.4467,                  0.911,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1327,                 1.6092,                 0.9008,                0.99376,                      1,                  0.995,                0.73628,                0.99925,                 1.3805,                0.90048,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3441,                 2.5564,                0.76017,                0.99376,                      1,                  0.995,                0.73628,                0.99925,                 1.3805,                0.90048,              0.0004358,              0.0004358,              0.0004358
                     82,                0.64649,                 2.0617,                0.59017,                0.99394,                      1,                  0.995,                0.75949,                0.98655,                 1.3069,                0.89765,               0.000416,               0.000416,               0.000416
                     83,                 1.1675,                 1.2515,                 0.8651,                0.99394,                      1,                  0.995,                0.75949,                0.98655,                 1.3069,                0.89765,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.8541,                 1.3887,                0.90021,                0.99474,                      1,                  0.995,                0.75618,                0.96621,                 1.2887,                0.89465,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.8851,                 1.5986,                0.76057,                0.99474,                      1,                  0.995,                0.75618,                0.96621,                 1.2887,                0.89465,              0.0003566,              0.0003566,              0.0003566
                     86,                0.93099,                  1.372,                0.88562,                0.99472,                      1,                  0.995,                0.75313,                0.95121,                 1.3049,                0.89558,              0.0003368,              0.0003368,              0.0003368
                     87,                0.87559,                   2.18,                0.71563,                0.99472,                      1,                  0.995,                0.75313,                0.95121,                 1.3049,                0.89558,               0.000317,               0.000317,               0.000317
                     88,                0.83766,                 1.3885,                0.76506,                0.99482,                      1,                  0.995,                0.76563,                0.95644,                 1.2946,                0.89605,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0008,                 1.3888,                0.85339,                0.99482,                      1,                  0.995,                0.76563,                0.95644,                 1.2946,                0.89605,              0.0002774,              0.0002774,              0.0002774
                     90,                0.86175,                 1.3762,                0.83641,                0.99485,                      1,                  0.995,                0.74786,                0.99834,                  1.315,                0.90022,              0.0002576,              0.0002576,              0.0002576
                     91,                0.88038,                 1.5281,                0.90727,                0.99485,                      1,                  0.995,                0.74786,                0.99834,                  1.315,                0.90022,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1884,                 2.3948,                0.83672,                0.99491,                      1,                  0.995,                0.72192,                 1.0594,                 1.3704,                0.90939,               0.000218,               0.000218,               0.000218
                     93,                0.72648,                 1.2512,                0.80766,                0.99491,                      1,                  0.995,                0.72192,                 1.0594,                 1.3704,                0.90939,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.2474,                 2.3354,                0.68267,                0.99496,                      1,                  0.995,                0.69165,                  1.101,                 1.3695,                0.91701,              0.0001784,              0.0001784,              0.0001784
                     95,                0.83997,                 1.6134,                0.82471,                0.99496,                      1,                  0.995,                0.69165,                  1.101,                 1.3695,                0.91701,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0387,                 2.8646,                0.74641,                0.99501,                      1,                  0.995,                0.70163,                  1.106,                 1.3486,                0.91891,              0.0001388,              0.0001388,              0.0001388
                     97,                0.72514,                 1.2544,                0.84172,                0.99501,                      1,                  0.995,                0.70163,                  1.106,                 1.3486,                0.91891,               0.000119,               0.000119,               0.000119
                     98,                 1.0823,                 1.8707,                0.89021,                0.99512,                      1,                  0.995,                0.70402,                 1.0967,                 1.3383,                 0.9171,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0004,                 1.4748,                 1.0144,                0.99512,                      1,                  0.995,                0.70402,                 1.0967,                 1.3383,                 0.9171,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  1.385,                 2.4137,                 0.8535,                0.99505,                      1,                  0.995,                0.70402,                 1.0831,                 1.3415,                0.91458,               5.96e-05,               5.96e-05,               5.96e-05
