                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2519,                 6.1395,                0.96348,                0.00033,                    0.1,                0.00019,                0.00011,                 1.1111,                 5.3049,                0.94421,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.1795,                 5.1212,                0.87278,                0.00167,                    0.5,                0.00163,                0.00086,                0.97089,                 5.0405,                0.91582,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                  1.479,                 4.5946,                0.87922,                0.00333,                      1,                 0.0075,                0.00396,                  1.158,                 4.9955,                0.84532,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.2474,                 3.6401,                0.88186,                0.00333,                      1,                0.00736,                0.00379,                 1.2146,                 4.7438,                0.84344,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.2021,                 2.8807,                0.73173,                0.00333,                      1,                 0.0067,                0.00351,                 1.1672,                 4.6261,                0.84211,             0.00026891,             0.00026891,             0.00026891
                      6,                  1.334,                 2.6379,                0.88797,                  0.003,                    0.9,                0.00546,                0.00325,                  1.115,                 4.4915,                0.82793,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.1403,                 2.5139,                0.89069,                0.00333,                      1,                0.00633,                 0.0029,                 1.1604,                  4.542,                0.84455,             0.00037624,             0.00037624,             0.00037624
                      8,                0.98093,                 2.3007,                0.83449,                0.00333,                      1,                0.00614,                0.00239,                 1.3798,                 4.7659,                 0.9105,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.1219,                 3.1904,                0.78651,                0.00333,                      1,                 0.0063,                0.00266,                 1.3593,                  4.738,                 0.9239,             0.00047882,             0.00047882,             0.00047882
                     10,                0.66586,                 4.1385,                0.57644,                0.00333,                      1,                0.00646,                0.00289,                 1.2955,                 4.7082,                0.90629,             0.00052832,             0.00052832,             0.00052832
                     11,                0.63465,                 4.1508,                0.58831,                0.00333,                      1,                0.00683,                0.00347,                 1.2623,                 4.5572,                0.87873,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.1045,                  2.513,                0.83363,                0.00333,                      1,                0.00697,                0.00374,                 1.1772,                 4.4789,                0.88883,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.1501,                 2.2884,                0.93052,                0.00333,                      1,                0.00709,                 0.0044,                 1.1838,                 4.5243,                 0.9205,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.1646,                 2.0963,                0.92354,                0.00333,                      1,                0.00698,                 0.0042,                 1.1722,                 4.4427,                0.92113,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.0439,                 2.1128,                0.82533,                0.00333,                      1,                0.00662,                0.00387,                 1.1156,                 4.4405,                0.88534,             0.00075803,             0.00075803,             0.00075803
                     16,                  1.046,                 2.7317,                0.79216,                0.00333,                      1,                0.00641,                0.00422,                 1.0042,                 4.3537,                0.86824,             0.00080041,             0.00080041,             0.00080041
                     17,                  1.405,                 3.0828,                0.96469,                0.00333,                      1,                0.00625,                0.00396,                 1.1978,                 4.2397,                 0.8916,              0.0008416,              0.0008416,              0.0008416
                     18,                0.71725,                 3.5315,                0.57114,                0.00333,                      1,                 0.4133,                 0.3035,                 1.3454,                 4.1023,                0.94072,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.3033,                 2.5037,                0.91842,                0.00333,                      1,                 0.4133,                 0.3035,                 1.3454,                 4.1023,                0.94072,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.4282,                 2.5415,                0.91043,                0.00333,                      1,                0.37293,                0.23314,                 1.3907,                 3.9752,                0.96309,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.2953,                 2.3659,                 1.0589,                0.00333,                      1,                0.00702,                0.00456,                 1.4184,                 4.0888,                0.96581,             0.00099448,             0.00099448,             0.00099448
                     22,                 1.4592,                   2.53,                0.96771,                0.00333,                      1,                0.00702,                0.00456,                 1.4184,                 4.0888,                0.96581,              0.0010297,              0.0010297,              0.0010297
                     23,                  0.778,                 3.4627,                0.64465,                0.00333,                      1,                0.00487,                0.00291,                 1.2658,                 4.2103,                0.95057,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.3024,                 2.2653,                0.98346,                0.00333,                      1,                0.03739,                0.02648,                 1.1428,                 3.8331,                0.92515,              0.0010967,              0.0010967,              0.0010967
                     25,                0.78465,                  3.408,                0.63133,                0.00333,                      1,                0.03739,                0.02648,                 1.1428,                 3.8331,                0.92515,              0.0011284,              0.0011284,              0.0011284
                     26,                 1.6842,                 2.4084,                0.96024,                0.51492,                    0.5,                0.52489,                0.40615,                 1.2536,                 3.4786,                0.92862,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.3901,                 1.7473,                0.88257,                0.51492,                    0.5,                0.52489,                0.40615,                 1.2536,                 3.4786,                0.92862,              0.0011882,              0.0011882,              0.0011882
                     28,                 1.3313,                 2.6307,                0.91474,                0.09174,                    0.2,                0.17565,                0.13433,                 1.3237,                 3.7977,                0.94111,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.2843,                 2.1893,                0.92905,                0.09174,                    0.2,                0.17565,                0.13433,                 1.3237,                 3.7977,                0.94111,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.2307,                 2.4936,                 1.0005,                  0.003,                    0.9,                0.00767,                0.00511,                 1.2094,                 3.9947,                0.95005,               0.001269,               0.001269,               0.001269
                     31,                 1.4052,                 3.1182,                0.92666,                  0.003,                    0.9,                0.00767,                0.00511,                 1.2094,                 3.9947,                0.95005,              0.0012935,              0.0012935,              0.0012935
                     32,                 1.2222,                 1.9695,                0.88087,                0.00333,                      1,                0.10126,                0.07318,                 1.1226,                 3.4223,                0.91071,              0.0013169,              0.0013169,              0.0013169
                     33,                0.98846,                 3.4264,                0.61404,                0.00333,                      1,                0.10126,                0.07318,                 1.1226,                 3.4223,                0.91071,              0.0013391,              0.0013391,              0.0013391
                     34,                 1.0723,                 2.4106,                 0.8791,                0.96871,                    0.9,                0.98591,                0.67401,                 1.2159,                 2.8475,                0.92335,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3504,                  1.753,                0.99448,                0.96871,                    0.9,                0.98591,                0.67401,                 1.2159,                 2.8475,                0.92335,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3528,                 2.0637,                0.93426,                      1,                0.95191,                  0.995,                0.67523,                 1.2191,                 2.7902,                0.95102,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2288,                  2.095,                0.87637,                      1,                0.95191,                  0.995,                0.67523,                 1.2191,                 2.7902,                0.95102,               0.001307,               0.001307,               0.001307
                     38,                 1.2048,                  2.657,                0.84829,                      1,                0.94132,                  0.995,                0.70492,                 1.2968,                 3.1632,                0.99049,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6115,                 2.6366,                0.95876,                      1,                0.94132,                  0.995,                0.70492,                 1.2968,                 3.1632,                0.99049,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1947,                 2.3044,                0.82095,                      1,                0.43102,                0.67177,                0.44115,                 1.2916,                   3.42,                0.99652,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2644,                 2.5008,                0.88072,                      1,                0.43102,                0.67177,                0.44115,                 1.2916,                   3.42,                0.99652,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3501,                 2.3507,                0.83309,                0.97741,                      1,                  0.995,                 0.6305,                 1.1946,                 2.9573,                0.95644,               0.001208,               0.001208,               0.001208
                     43,                 1.1632,                 2.1433,                0.90409,                0.97741,                      1,                  0.995,                 0.6305,                 1.1946,                 2.9573,                0.95644,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1588,                 2.6471,                 0.8745,                 0.9965,                      1,                  0.995,                0.57672,                 1.2938,                 2.4546,                0.96824,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1899,                 2.2015,                0.91764,                 0.9965,                      1,                  0.995,                0.57672,                 1.2938,                 2.4546,                0.96824,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0976,                  1.775,                0.88977,                      1,                0.99561,                  0.995,                  0.589,                 1.2735,                 2.1607,                0.95482,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2328,                 1.6399,                0.87492,                      1,                0.99561,                  0.995,                  0.589,                 1.2735,                 2.1607,                0.95482,               0.001109,               0.001109,               0.001109
                     48,                 1.2871,                 1.9512,                0.81048,                      1,                0.99313,                  0.995,                 0.6079,                 1.2688,                 1.9788,                0.96116,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2878,                 1.7214,                0.86954,                      1,                0.99313,                  0.995,                 0.6079,                 1.2688,                 1.9788,                0.96116,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1191,                 1.7168,                0.92954,                      1,                0.98739,                  0.995,                0.66145,                 1.1844,                 1.9933,                0.95803,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1343,                 1.7051,                  0.959,                      1,                0.98739,                  0.995,                0.66145,                 1.1844,                 1.9933,                0.95803,              0.0010298,              0.0010298,              0.0010298
